held_out_track,model_id,sample_count,mae,rmse,median_absolute_error,p90_absolute_error,maximum_absolute_error,signed_bias,r_squared,pearson_correlation,spearman_correlation,x_only_mae,absolute_mae_change_vs_x_only,relative_mae_change_vs_x_only,corresponding_unimodal_model,absolute_mae_change_vs_corresponding_unimodal,relative_mae_change_vs_corresponding_unimodal
10,x_only,222,0.0978168374513879,0.12683283996629116,0.07744103492094645,0.20991329087981864,0.43499541709578515,0.010457591289913706,-0.0050715942555465965,0.043363119690020116,0.015352583210334112,0.0978168374513879,0.0,0.0,,,
10,fixed_thermal_shape_ridge,222,0.09980435807351434,0.13246726371352513,0.07935908986316142,0.22345945411231447,0.46183603594415656,0.023259136593237785,-0.09635372334087777,-0.09965356278472973,-0.09420225282045723,0.0978168374513879,0.00198752062212644,0.02031879862313254,,,
10,sem_summary_ridge,222,0.09609444218268438,0.12401292101703613,0.07790746299535856,0.19944537947658714,0.4214643457985435,-0.003712036226815893,0.039123794367803555,0.251226580872287,0.2762104886184723,0.0978168374513879,-0.0017223952687035193,-0.01760837207152091,,,
10,sem_pca_ridge,222,0.10262336067365233,0.12897039815619132,0.08909732749190036,0.20829856188839574,0.40706309445845257,-0.021561767488127975,-0.03923471601726147,0.016250111173164262,0.014790448546099188,0.0978168374513879,0.004806523222264422,0.04913799451605786,,,
10,thermal_plus_sem_summary_ridge,222,0.09693675058165682,0.12738721408459608,0.07396364108539938,0.20914675197868504,0.45235035425436904,0.013883811450136709,-0.013876938068636768,0.09205376688998906,0.05999046294308843,0.0978168374513879,-0.000880086869731081,-0.008997294255893913,sem_summary_ridge,0.0008423083989724384,0.008765422638815391
10,thermal_plus_sem_pca_ridge,222,0.09958869000760927,0.12781518337970113,0.0785423383590454,0.1990357001064076,0.4216291907282017,-0.007168062610505231,-0.02070081092399856,-0.018156977368788726,-0.017253421011542158,0.0978168374513879,0.001771852556221365,0.018113983260825865,sem_pca_ridge,-0.0030346706660430572,-0.02957095388537771
10,sem_summary_upstream_ridge,222,0.09569618911136968,0.12428356592254908,0.07580711517399269,0.19881500263352841,0.42940855392393507,0.0012406479695667902,0.034925199250599226,0.23612526117751664,0.25518281320764746,0.0978168374513879,-0.0021206483400182247,-0.021679788421621427,,,
10,sem_pca_upstream_ridge,222,0.10101283885830684,0.12771590485316253,0.08015243357590773,0.20704339003097658,0.39766207951017063,-0.019966243068788733,-0.019115798640453763,0.10415825143795582,0.1201355814718493,0.0978168374513879,0.003196001406918933,0.032673325883258615,,,
14,training_mean,224,0.09981304944147265,0.12971838642339198,0.075658,0.23238566079295153,0.43148566079295175,0.0459605090072373,-0.143557010058462,,,0.09990830665224197,-9.525721076932003e-05,-0.0009534463545747868,,,
14,x_only,224,0.09990830665224197,0.12950121263103262,0.07789514254741098,0.23172392204302242,0.44126005571067123,0.04600088763395443,-0.1397311419468319,0.06488789111054664,0.07000298972814967,0.09990830665224197,0.0,0.0,,,
14,fixed_thermal_shape_ridge,224,0.09760229504419153,0.12114905916128617,0.08400890607144179,0.1983135368955972,0.38323872094723216,-0.0008505630842393185,0.0025414981349320964,0.05094770492297197,0.07831158715607432,0.09990830665224197,-0.00230601160805044,-0.023081280078914163,,,
14,sem_summary_ridge,224,0.10110188991058189,0.12707958666457053,0.08609037489206428,0.20915493928136453,0.41710448037025666,0.01231134109210064,-0.09750455662475987,0.07857795666931582,0.08439288467592845,0.09990830665224197,0.001193583258339917,0.011946786992341968,,,
14,sem_pca_ridge,224,0.09929891551602779,0.12631511404723378,0.08276095073861789,0.2111766707442923,0.4180285945743219,0.027173266812900325,-0.08433975840215302,0.05233265689806656,0.037277910685746145,0.09990830665224197,-0.0006093911362141796,-0.006099504201741014,,,
14,thermal_plus_sem_summary_ridge,224,0.110699833742824,0.1402295511738367,0.09369830321851857,0.23929080416185228,0.41374346478869145,0.03149870511715791,-0.336391894478935,0.07475559408196542,0.09456308200304821,0.09990830665224197,0.010791527090582023,0.10801431284532594,sem_summary_ridge,0.009597943832242106,0.09493337701927106
14,thermal_plus_sem_pca_ridge,224,0.10968912145178744,0.14117226344654726,0.08224617714558424,0.23866885807937605,0.430411798546306,0.05657104714498313,-0.35442044451230426,0.005697304266651965,0.007187473313124057,0.09990830665224197,0.00978081479954547,0.09789791387006744,sem_pca_ridge,0.01039020593575965,0.1046356436197188
14,sem_summary_upstream_ridge,224,0.10537003258123735,0.13246041170930456,0.08871146662710616,0.2188562992284067,0.413216739703625,0.005409136582927616,-0.1924136694529004,0.0665576210445654,0.06454738623807948,0.09990830665224197,0.005461725928995381,0.05466738564598441,,,
14,sem_pca_upstream_ridge,224,0.09983500979391935,0.12705162373231477,0.08314078033531136,0.20039785486444295,0.4415337153931738,0.02944637931980402,-0.09702161408648347,0.027060721518129313,0.013684120624080505,0.09990830665224197,-7.329685832262178e-05,-0.0007336412834795753,,,
